,date_of_birth,date_of_photo_shoot,face_score,file_path,age
0,1981-05-05,2009,4.30096238833,17/10000217_1981-05-05_2009.jpg,28
1,1925-04-04,1964,2.64563949719,48/10000548_1925-04-04_1964.jpg,39
2,1948-07-03,2008,4.32932883241,12/100012_1948-07-03_2008.jpg,60
4,1971-05-31,2012,3.40844241522,16/10002116_1971-05-31_2012.jpg,41
5,1960-11-09,2012,4.74805637795,02/10002702_1960-11-09_2012.jpg,52
6,1937-09-27,1971,4.18482831215,41/10003541_1937-09-27_1971.jpg,34
7,1904-12-07,1982,3.0063501246,39/100039_1904-12-07_1982.jpg,78
10,1908-08-19,1950,4.52665704465,99/10004299_1908-08-19_1950.jpg,42
11,1933-06-12,1969,5.55184098853,56/1000456_1933-06-12_1969.jpg,36
12,1987-05-16,2010,3.97547825973,82/10004882_1987-05-16_2010.jpg,23
15,1981-04-07,2006,4.14301607957,47/10005947_1981-04-07_2006.jpg,25
16,1972-04-05,2004,1.47075481166,84/1000684_1972-04-05_2004.jpg,32
17,1973-08-17,2010,3.24285185957,50/10006850_1973-08-17_2010.jpg,37
19,1930-07-07,2008,3.68045609025,81/1000781_1930-07-07_2008.jpg,78
20,1889-05-19,1940,2.99263638655,87/100087_1889-05-19_1940.jpg,51
21,1968-03-23,2010,4.29771467132,97/100097_1968-03-23_2010.jpg,42
22,1980-11-08,2011,2.27529315048,91/1001191_1980-11-08_2011.jpg,31
23,1981-01-30,2014,4.02833330248,31/1001231_1981-01-30_2014.jpg,33
24,1983-03-30,2011,4.58528280714,32/10012532_1983-03-30_2011.jpg,28
26,1920-11-30,1950,2.28447801435,19/1001319_1920-11-30_1950.jpg,30
27,1926-09-06,1986,4.90296648024,31/100131_1926-09-06_1986.jpg,60
28,1956-05-26,1969,4.59856107181,45/10013345_1956-05-26_1969.jpg,13
31,1953-12-29,2014,2.79555362693,64/1001464_1953-12-29_2014.jpg,61
32,1968-10-11,2010,5.83799354555,95/10014795_1968-10-11_2010.jpg,42
33,1977-03-01,2007,5.6402632149,79/10015679_1977-03-01_2007.jpg,30
34,1920-04-07,1988,1.6432300582,56/100156_1920-04-07_1988.jpg,68
35,1987-07-27,2012,5.1989355296,74/10016074_1987-07-27_2012.jpg,25
36,1988-02-03,2012,3.09730026369,25/10016225_1988-02-03_2012.jpg,24
37,1962-02-08,2011,0.883435366501,35/10016635_1962-02-08_2011.jpg,49
38,1963-07-28,2009,3.66442988345,88/10016688_1963-07-28_2009.jpg,46
40,1973-08-03,2007,5.34313977119,64/10017464_1973-08-03_2007.jpg,34
41,1930-05-11,2002,2.12007256541,18/10018_1930-05-11_2002.jpg,72
42,1978-04-09,2009,3.66047665866,95/10019295_1978-04-09_2009.jpg,31
43,1957-10-03,2010,1.55300689822,96/100196_1957-10-03_2010.jpg,53
45,1960-05-14,2007,2.01142503068,48/1002248_1960-05-14_2007.jpg,47
47,1955-12-24,2012,1.68256330899,05/10024005_1955-12-24_2012.jpg,57
48,1966-05-28,2000,4.62874912359,27/1002427_1966-05-28_2000.jpg,34
50,1937-11-27,1960,2.1741090503,54/10024854_1937-11-27_1960.jpg,23
51,1984-05-17,2014,3.57929656226,21/10026321_1984-05-17_2014.jpg,30
52,1962-01-28,2009,2.38618381054,87/1002787_1962-01-28_2009.jpg,47
53,1974-10-18,2007,3.57419371229,62/10028362_1974-10-18_2007.jpg,33
54,1949-11-08,2007,1.08877600014,85/100285_1949-11-08_2007.jpg,58
55,1956-10-10,2010,2.50184100619,21/10028621_1956-10-10_2010.jpg,54
56,1954-03-26,2007,3.23591511944,71/1002871_1954-03-26_2007.jpg,53
57,1954-09-10,2009,2.49730154353,23/1002923_1954-09-10_2009.jpg,55
58,1966-01-31,2012,4.95603234581,80/1002980_1966-01-31_2012.jpg,46
59,1980-06-23,2013,3.31973627461,13/10030613_1980-06-23_2013.jpg,33
62,1965-04-10,2007,4.00486922182,43/1003243_1965-04-10_2007.jpg,42
65,1945-06-14,2012,4.11261769109,59/10033359_1945-06-14_2012.jpg,67
68,1931-07-10,2010,2.80960311802,39/100339_1931-07-10_2010.jpg,79
69,1920-08-10,1970,4.02882903427,49/1003449_1920-08-10_1970.jpg,50
71,1976-07-29,2009,3.0416271376,29/10034929_1976-07-29_2009.jpg,33
75,1975-07-31,2007,1.75070172702,34/10038134_1975-07-31_2007.jpg,32
76,1967-04-27,2015,4.23657431913,84/100384_1967-04-27_2015.jpg,48
77,1969-10-11,2013,3.298096644,87/100387_1969-10-11_2013.jpg,44
79,1961-08-28,2008,0.875613487396,38/10038938_1961-08-28_2008.jpg,47
81,1913-12-03,1976,2.05534843371,23/10039123_1913-12-03_1976.jpg,63
82,1976-03-30,2006,3.46251938325,48/1003948_1976-03-30_2006.jpg,30
84,1955-10-19,1984,4.30247446693,61/10040161_1955-10-19_1984.jpg,29
85,1979-05-25,2010,3.78217666392,27/1004027_1979-05-25_2010.jpg,31
87,1987-11-05,2012,0.96080925378,19/10040419_1987-11-05_2012.jpg,25
88,1964-09-19,2010,1.45936278963,59/1004059_1964-09-19_2010.jpg,46
89,1948-08-20,2010,1.69963634243,05/100405_1948-08-20_2010.jpg,62
90,1979-09-15,2007,1.84595193602,78/1004078_1979-09-15_2007.jpg,28
91,1976-05-02,2008,1.78850533633,07/1004107_1976-05-02_2008.jpg,32
92,1970-06-16,2007,3.09129510317,60/1004160_1970-06-16_2007.jpg,37
93,1954-03-18,2006,4.79600574392,78/10043078_1954-03-18_2006.jpg,52
94,1981-02-13,2007,4.59793258628,29/1004429_1981-02-13_2007.jpg,26
95,1975-08-25,2011,5.24471761042,40/1004540_1975-08-25_2011.jpg,36
96,1981-11-27,2012,1.21246264597,04/1004604_1981-11-27_2012.jpg,31
97,1933-04-21,1962,1.63938474557,06/10046706_1933-04-21_1962.jpg,29
98,1987-07-16,2014,2.8316320706,56/10046756_1987-07-16_2014.jpg,27
100,1937-12-29,1961,2.96463644712,54/1004854_1937-12-29_1961.jpg,24
101,1891-09-16,1958,5.25481863999,00/10049200_1891-09-16_1958.jpg,67
102,1945-03-30,2008,2.3808504625,49/10049_1945-03-30_2008.jpg,63
104,1937-09-06,2010,3.33435147555,79/1005079_1937-09-06_2010.jpg,73
105,1955-07-06,2005,3.05661530027,31/1005131_1955-07-06_2005.jpg,50
106,1960-01-10,2013,5.19734436664,58/1005258_1960-01-10_2013.jpg,53
107,1982-06-12,2009,3.84211051223,11/10054011_1982-06-12_2009.jpg,27
109,1937-08-20,2008,1.92090918697,25/1005525_1937-08-20_2008.jpg,71
110,1992-09-28,2010,4.01577094004,79/10055379_1992-09-28_2010.jpg,18
112,1970-06-02,2009,2.96918605606,88/10058588_1970-06-02_2009.jpg,39
113,1979-12-03,2006,4.97941752768,27/1005927_1979-12-03_2006.jpg,27
114,1988-03-11,2009,2.60334010701,26/10059326_1988-03-11_2009.jpg,21
115,1968-04-18,2007,1.64241412524,47/1005947_1968-04-18_2007.jpg,39
116,1912-01-10,1943,1.45548850218,15/10059615_1912-01-10_1943.jpg,31
118,1970-12-29,2011,2.19479809021,11/1006211_1970-12-29_2011.jpg,41
121,1986-03-06,2014,2.1014333636,37/10063437_1986-03-06_2014.jpg,28
123,1979-01-13,2005,2.15462978551,82/10063582_1979-01-13_2005.jpg,26
125,1986-01-04,2009,3.72284749934,03/10064003_1986-01-04_2009.jpg,23
126,1980-07-07,2005,5.48203054688,07/1006407_1980-07-07_2005.jpg,25
130,1941-07-30,2007,2.135898943,91/100691_1941-07-30_2007.jpg,66
131,1954-12-28,2000,4.7086815487,92/100692_1954-12-28_2000.jpg,46
133,1973-01-20,2011,3.20060604406,07/1007007_1973-01-20_2011.jpg,38
135,1981-10-16,2010,3.88140627579,45/10071745_1981-10-16_2010.jpg,29
136,1935-05-27,2005,3.70671768994,92/1007192_1935-05-27_2005.jpg,70
137,1961-04-03,2010,4.79064535133,71/10071_1961-04-03_2010.jpg,49
139,1972-07-06,2009,3.53674282306,98/10072598_1972-07-06_2009.jpg,37
141,1983-03-09,2013,3.84098206001,99/1007499_1983-03-09_2013.jpg,30
142,1944-11-05,1982,3.63521408412,01/10075401_1944-11-05_1982.jpg,38
143,1988-01-11,2010,4.59005923151,15/10075415_1988-01-11_2010.jpg,22
144,1960-11-06,2011,0.824494978494,99/10075699_1960-11-06_2011.jpg,51
146,1968-12-17,2012,2.86920196364,36/1007636_1968-12-17_2012.jpg,44
147,1922-04-15,1967,1.42850608621,09/1007709_1922-04-15_1967.jpg,45
148,1947-12-21,2007,3.33662411487,64/1007764_1947-12-21_2007.jpg,60
149,1899-12-14,1970,1.3999210867,67/1007767_1899-12-14_1970.jpg,71
155,1991-03-11,2010,3.64425337057,69/10079169_1991-03-11_2010.jpg,19
156,1986-03-09,2009,4.9566153636,28/1007928_1986-03-09_2009.jpg,23
